date,safegraph_place,visitor_home_cbg,number
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,510594805041,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110141,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110241,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511539015082,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110093,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110091,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110231,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076118063,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076106043,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076105043,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511539014161,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,510594912013,4
2020-02-03,sg:7cc0f8bf550343daace4e4c6475cab8f,511076111023,4
2020-02-03,sg:a2fc769ad104456e89b5e7613979a356,
2020-02-03,sg:b202fd82990c42c5912506817d0129e1,510430101002,4
2020-02-03,sg:b202fd82990c42c5912506817d0129e1,511076105061,4
2020-02-03,sg:b202fd82990c42c5912506817d0129e1,511076110091,4
2020-02-03,sg:b202fd82990c42c5912506817d0129e1,511076110093,4
2020-02-03,sg:b202fd82990c42c5912506817d0129e1,511076110252,4
2020-02-03,sg:37d99fd082414ba49fa8bf9a32bd98f3,
2020-02-03,sg:361cded9d00b476fa624fe8d07183c22,511552106002,4
2020-02-03,sg:361cded9d00b476fa624fe8d07183c22,517500102004,4
2020-02-03,sg:361cded9d00b476fa624fe8d07183c22,511970504023,4
2020-02-03,sg:361cded9d00b476fa624fe8d07183c22,517500102002,4
2020-02-03,sg:d788fceea7b445eba331cfe41b917033,
2020-02-03,sg:2b12c241bd94430ab78509382bf93841,511870201001,4
2020-02-03,sg:2b12c241bd94430ab78509382bf93841,511076105032,4
2020-02-03,sg:f4b5f4872a88413d877e8c09ae57a897,511139301003,4
2020-02-03,sg:f4b5f4872a88413d877e8c09ae57a897,511552101001,4
2020-02-03,sg:f4b5f4872a88413d877e8c09ae57a897,511210208002,4
2020-02-03,sg:38ed5d71850c4223bcab9eff6ecd7bb9,
2020-02-03,sg:bf33b4744082457e800e6e28095bd5eb,
2020-02-03,sg:65d2c0b437704107b0f2f9d1afb05a7c,
2020-02-03,sg:12a9e9bcc1914b909f77f67c21710bef,511210209002,4
2020-02-03,sg:12a9e9bcc1914b909f77f67c21710bef,517500102003,4
2020-02-03,sg:25d381c5fd4e40b4a1e5a42253683166,511076110203,4
2020-02-03,sg:25d381c5fd4e40b4a1e5a42253683166,511076105033,4
2020-02-03,sg:25d381c5fd4e40b4a1e5a42253683166,510594917022,4
2020-02-03,sg:25d381c5fd4e40b4a1e5a42253683166,510619304011,4
2020-02-03,sg:25d381c5fd4e40b4a1e5a42253683166,511076106013,4
2020-02-03,sg:25d381c5fd4e40b4a1e5a42253683166,511076105062,4
2020-02-03,sg:25d381c5fd4e40b4a1e5a42253683166,511076110181,4
